# wlstart: 490.0
# wlend: 1000.0
# countthresh: 10000
# aqpixstart: 46
# aqpixend: 963
#  wavelenth in nm 	 intensity in counts
6.311059999999999945e+02	1.005110357730263217e+02
6.316649999999999636e+02	1.025968208607456233e+02
6.322240000000000464e+02	1.048975182291666783e+02
6.327820000000000391e+02	1.079043515624999969e+02
6.333410000000000082e+02	1.090383822642543805e+02
6.338999999999999773e+02	1.121504831414473813e+02
6.344589999999999463e+02	1.153941629660087642e+02
6.350170000000000528e+02	1.184580138432017549e+02
6.355760000000000218e+02	1.210701147203947414e+02
6.361349999999999909e+02	1.214497594572368513e+02
6.366939999999999600e+02	1.244872989309210567e+02
6.372519999999999527e+02	1.283537813870614173e+02
6.378110000000000355e+02	1.298474612116228002e+02
6.383700000000000045e+02	1.293367550712719378e+02
6.389279999999999973e+02	1.298962199835526405e+02
6.394869999999999663e+02	1.271486717379385993e+02
6.400460000000000491e+02	1.279405971765350927e+02
6.406040000000000418e+02	1.275658515625000007e+02
6.411630000000000109e+02	1.290770752467105353e+02
6.417219999999999800e+02	1.315532112116228234e+02
6.422799999999999727e+02	1.334372375274122646e+02
6.428390000000000555e+02	1.395668822642543887e+02
6.433980000000000246e+02	1.441702112116228136e+02
6.439560000000000173e+02	1.496726585800438443e+02
6.445149999999999864e+02	1.559996717379385984e+02
6.450729999999999791e+02	1.633222945449561507e+02
6.456319999999999482e+02	1.674607112116227938e+02
6.461910000000000309e+02	1.728184261239034925e+02
6.467490000000000236e+02	1.766103471765350719e+02
6.473079999999999927e+02	1.789680620888157989e+02
6.478659999999999854e+02	1.852029655975877347e+02
6.484249999999999545e+02	1.897975226151315837e+02
6.489829999999999472e+02	1.922210226151315737e+02
6.495420000000000300e+02	1.936094392817982452e+02
6.501009999999999991e+02	1.988531191063596566e+02
6.506589999999999918e+02	2.016362682291666601e+02
6.512179999999999609e+02	2.063404743695175512e+02
6.517759999999999536e+02	2.076850270010964721e+02
6.523350000000000364e+02	2.105646717379385962e+02
6.528930000000000291e+02	2.128127331414473531e+02
6.534519999999999982e+02	2.191134305098684365e+02
6.540099999999999909e+02	2.180764041940789468e+02
6.545689999999999600e+02	2.202849962993421116e+02
6.551269999999999527e+02	2.234102506853070054e+02
6.556860000000000355e+02	2.271846322642543896e+02
6.562440000000000282e+02	2.293318164747807089e+02
6.568020000000000209e+02	2.331018077028508628e+02
6.573609999999999900e+02	2.358937331414473988e+02
6.579189999999999827e+02	2.379049524396929769e+02
6.584779999999999518e+02	2.387714392817982514e+02
6.590359999999999445e+02	2.434887989309210639e+02
6.595950000000000273e+02	2.464210752467105294e+02
6.601530000000000200e+02	2.489893120888157796e+02
6.607110000000000127e+02	2.521759699835526192e+02
6.612699999999999818e+02	2.537310533168859763e+02
6.618279999999999745e+02	2.577861322642543769e+02
6.623869999999999436e+02	2.585078822642544196e+02
6.629450000000000500e+02	2.592296278782894774e+02
6.635030000000000427e+02	2.592496191063596598e+02
6.640620000000000118e+02	2.565371585800438652e+02
6.646200000000000045e+02	2.536229392817982387e+02
6.651779999999999973e+02	2.510464392817982571e+02
6.657369999999999663e+02	2.483909962993421061e+02
6.662949999999999591e+02	2.457355489309210554e+02
6.668529999999999518e+02	2.404616805098684438e+02
6.674120000000000346e+02	2.324115006853070042e+02
6.679700000000000273e+02	2.260586848958333519e+02
6.685280000000000200e+02	2.174558691063596427e+02
6.690869999999999891e+02	2.103662155975877113e+02
6.696449999999999818e+02	2.009256805098684424e+02
6.702029999999999745e+02	1.918667243695175557e+02
6.707609999999999673e+02	1.853077682291666690e+02
6.713200000000000500e+02	1.793453077028508744e+02
6.718780000000000427e+02	1.761591585800438509e+02
6.724360000000000355e+02	1.754598515625000061e+02
6.729940000000000282e+02	1.763482638432017495e+02
6.735529999999999973e+02	1.780656278782894617e+02
6.741109999999999900e+02	1.869584261239035357e+02
6.746689999999999827e+02	1.938132126736111331e+02
6.752269999999999754e+02	1.984662448373537984e+02
6.757849999999999682e+02	2.040359436677631777e+02
6.763440000000000509e+02	2.082313778782894644e+02
6.769020000000000437e+02	2.137820708607456197e+02
6.774600000000000364e+02	2.179117112116228157e+02
6.780180000000000291e+02	2.242781936677631336e+02
6.785760000000000218e+02	2.318201147203947414e+02
6.791340000000000146e+02	2.327523866502192789e+02
6.796929999999999836e+02	2.409653647203947457e+02
6.802509999999999764e+02	2.416871103344298319e+02
6.808089999999999691e+02	2.463430664747806986e+02
6.813669999999999618e+02	2.503060401589912090e+02
6.819249999999999545e+02	2.524049787554824604e+02
6.824829999999999472e+02	2.565916366502193000e+02
6.830410000000000537e+02	2.589405752467105231e+02
6.835990000000000464e+02	2.650482857730263504e+02
6.841570000000000391e+02	2.685024875274122564e+02
6.847150000000000318e+02	2.728163384046052329e+02
6.852730000000000246e+02	2.793319436677631415e+02
6.858310000000000173e+02	2.822203559484648849e+02
6.863899999999999864e+02	2.890342112116227895e+02
6.869479999999999791e+02	2.953305182291666711e+02
6.875059999999999718e+02	3.005259480537280297e+02
